model_label,category,mean_pct,ci_lower_pct,ci_upper_pct,n
GPT-5.4 Nano,sycophancy,15.6,14.1,17.1,2141
GPT-5.4 Nano,delusional,18.0,16.2,19.8,1754
GPT-5.4 Nano,relationship,11.8,10.2,13.6,1401
GPT-5.4 Nano,facilitates harm,0.0,0.0,0.0,481
GPT-5.4 Nano,discourages harm,52.2,48.0,56.4,544
GPT-4.1,sycophancy,33.2,31.3,35.2,2141
GPT-4.1,delusional,48.4,46.0,50.8,1754
GPT-4.1,relationship,37.1,34.6,39.5,1401
GPT-4.1,facilitates harm,4.6,2.9,6.7,481
GPT-4.1,discourages harm,15.1,12.1,18.2,544
GPT-5.4,sycophancy,20.6,19.0,22.4,2141
GPT-5.4,delusional,15.6,13.9,17.3,1754
GPT-5.4,relationship,11.1,9.5,12.8,1401
GPT-5.4,facilitates harm,0.4,0.0,1.0,481
GPT-5.4,discourages harm,63.2,59.2,67.1,544
GPT-5.4 (high),sycophancy,19.9,18.2,21.5,2141
GPT-5.4 (high),delusional,13.0,11.5,14.6,1754
GPT-5.4 (high),relationship,8.9,7.4,10.3,1401
GPT-5.4 (high),facilitates harm,0.0,0.0,0.0,481
GPT-5.4 (high),discourages harm,62.9,58.8,66.9,544
Qwen3.5-9B (low),sycophancy,9.9,8.6,11.2,2141
Qwen3.5-9B (low),delusional,12.8,11.2,14.4,1754
Qwen3.5-9B (low),relationship,8.3,6.9,9.8,1401
Qwen3.5-9B (low),facilitates harm,1.0,0.2,2.1,481
Qwen3.5-9B (low),discourages harm,5.0,3.1,6.8,544
Gemini 3.1 Pro (minimal),sycophancy,30.4,28.4,32.3,2141
Gemini 3.1 Pro (minimal),delusional,47.3,44.9,49.7,1754
Gemini 3.1 Pro (minimal),relationship,37.6,35.1,40.1,1401
Gemini 3.1 Pro (minimal),facilitates harm,2.7,1.5,4.2,481
Gemini 3.1 Pro (minimal),discourages harm,29.4,25.7,33.3,544
Gemini 3.1 Flash-Lite (minimal),sycophancy,34.4,32.5,36.4,2141
Gemini 3.1 Flash-Lite (minimal),delusional,66.8,64.6,69.0,1754
Gemini 3.1 Flash-Lite (minimal),relationship,38.6,36.0,41.2,1401
Gemini 3.1 Flash-Lite (minimal),facilitates harm,8.5,6.0,11.0,481
Gemini 3.1 Flash-Lite (minimal),discourages harm,25.7,22.2,29.4,544
GPT-4 Turbo,sycophancy,21.6,19.9,23.4,2141
GPT-4 Turbo,delusional,31.9,29.7,34.0,1754
GPT-4 Turbo,relationship,22.0,19.8,24.1,1401
GPT-4 Turbo,facilitates harm,2.3,1.0,3.7,481
GPT-4 Turbo,discourages harm,13.2,10.5,16.2,544
Claude Opus 4.7,sycophancy,26.5,24.7,28.4,2141
Claude Opus 4.7,delusional,27.8,25.7,29.9,1754
Claude Opus 4.7,relationship,27.0,24.6,29.3,1401
Claude Opus 4.7,facilitates harm,3.5,2.1,5.2,481
Claude Opus 4.7,discourages harm,36.2,32.2,40.4,544
Qwen3.5-397B (high),sycophancy,19.5,17.8,21.2,2141
Qwen3.5-397B (high),delusional,28.5,26.5,30.6,1754
Qwen3.5-397B (high),relationship,20.3,18.1,22.4,1401
Qwen3.5-397B (high),facilitates harm,1.7,0.6,2.9,481
Qwen3.5-397B (high),discourages harm,13.2,10.5,16.2,544
Qwen3.5-397B (low),sycophancy,20.3,18.6,22.0,2141
Qwen3.5-397B (low),delusional,28.8,26.7,31.0,1754
Qwen3.5-397B (low),relationship,21.9,19.8,24.1,1401
Qwen3.5-397B (low),facilitates harm,0.6,0.0,1.5,481
Qwen3.5-397B (low),discourages harm,11.9,9.4,14.7,544
Claude Sonnet 4.6,sycophancy,27.1,25.2,29.0,2141
Claude Sonnet 4.6,delusional,31.0,28.8,33.1,1754
Claude Sonnet 4.6,relationship,21.4,19.3,23.6,1401
Claude Sonnet 4.6,facilitates harm,2.1,0.8,3.5,481
Claude Sonnet 4.6,discourages harm,23.5,20.0,27.2,544
Grok 4.20,sycophancy,36.2,34.2,38.3,2141
Grok 4.20,delusional,70.0,67.8,72.1,1754
Grok 4.20,relationship,53.4,50.8,56.0,1401
Grok 4.20,facilitates harm,11.6,8.9,14.6,481
Grok 4.20,discourages harm,31.4,27.6,35.3,544
Claude Haiku 4.5,sycophancy,22.8,21.1,24.6,2141
Claude Haiku 4.5,delusional,27.3,25.1,29.4,1754
Claude Haiku 4.5,relationship,13.6,11.8,15.3,1401
Claude Haiku 4.5,facilitates harm,2.1,0.8,3.5,481
Claude Haiku 4.5,discourages harm,40.8,36.6,45.0,544
GPT-5.4 Mini,sycophancy,15.2,13.7,16.7,2139
GPT-5.4 Mini,delusional,11.2,9.7,12.7,1754
GPT-5.4 Mini,relationship,7.1,5.7,8.4,1401
GPT-5.4 Mini,facilitates harm,0.0,0.0,0.0,481
GPT-5.4 Mini,discourages harm,61.3,57.3,65.4,543
GPT-4o,sycophancy,35.5,33.5,37.6,2141
GPT-4o,delusional,50.3,47.9,52.7,1754
GPT-4o,relationship,36.0,33.5,38.5,1401
GPT-4o,facilitates harm,6.7,4.6,9.1,481
GPT-4o,discourages harm,21.9,18.4,25.4,544
Gemini 2.5 Pro (minimal),sycophancy,37.6,35.6,39.7,2141
Gemini 2.5 Pro (minimal),delusional,64.1,61.9,66.4,1754
Gemini 2.5 Pro (minimal),relationship,40.8,38.3,43.4,1401
Gemini 2.5 Pro (minimal),facilitates harm,8.9,6.4,11.6,481
Gemini 2.5 Pro (minimal),discourages harm,20.0,16.7,23.5,544
Gemini 2.5 Flash-Lite,sycophancy,35.0,33.0,37.0,2141
Gemini 2.5 Flash-Lite,delusional,56.0,53.7,58.4,1754
