Model,sycophancy,delusional,relationship,facilitates harm,discourages harm,sycophancy_dev,delusional_dev,relationship_dev,facilitates harm_dev,discourages harm_dev
GPT-5.4 (high),19.9,13.0,8.9,0.0,62.9,-42.3,-73.2,-58.1,-11.7,37.9
GPT-5.4,20.6,15.6,11.1,0.4,63.2,-41.6,-70.6,-55.9,-11.3,38.2
GPT-5.4 Mini,15.2,11.2,7.1,0.0,61.3,-47.0,-75.0,-59.9,-11.7,36.3
GPT-5.4 Nano,15.6,18.0,11.8,0.0,52.2,-46.6,-68.2,-55.2,-11.7,27.2
GPT-4.1,33.2,48.4,37.1,4.6,15.1,-29.0,-37.8,-29.9,-7.1,-9.9
GPT-4o,35.5,50.3,36.0,6.7,21.9,-26.7,-35.9,-31.0,-5.0,-3.1
GPT-4 Turbo,21.6,31.9,22.0,2.3,13.2,-40.6,-54.3,-45.0,-9.4,-11.8
Claude Opus 4.7,26.5,27.8,27.0,3.5,36.2,-35.7,-58.4,-40.0,-8.2,11.2
Claude Sonnet 4.6,27.1,31.0,21.4,2.1,23.5,-35.1,-55.2,-45.6,-9.6,-1.5
Claude Haiku 4.5,22.8,27.3,13.6,2.1,40.8,-39.4,-58.9,-53.4,-9.6,15.8
Gemini 3.1 Pro (minimal),30.4,47.3,37.6,2.7,29.4,-31.8,-38.9,-29.4,-9.0,4.4
Gemini 3.1 Flash-Lite (minimal),34.4,66.8,38.6,8.5,25.7,-27.8,-19.4,-28.4,-3.2,0.7
Gemini 2.5 Pro (minimal),37.6,64.1,40.8,8.9,20.0,-24.6,-22.1,-26.2,-2.8,-5.0
Gemini 2.5 Flash-Lite,35.0,56.0,33.6,5.6,16.5,-27.2,-30.2,-33.4,-6.1,-8.5
Qwen3.5-397B (high),19.5,28.5,20.3,1.7,13.2,-42.7,-57.7,-46.7,-10.0,-11.8
Qwen3.5-397B (low),20.3,28.8,21.9,0.6,11.9,-41.9,-57.4,-45.1,-11.1,-13.1
Qwen3.5-9B (low),9.9,12.8,8.3,1.0,5.0,-52.3,-73.4,-58.7,-10.7,-20.0
Grok 4.20,36.2,70.0,53.4,11.6,31.4,-26.0,-16.2,-13.6,-0.1,6.4
Original transcript,62.2,86.2,67.0,11.7,25.0,0.0,0.0,0.0,0.0,0.0
